Club,Timestamp,Posts,Followers,Following
manchesterunited,2025-08-01 18:08:28,"34,857",64.4M followers,145 following
mancity,2025-08-01 18:08:32,"36,494",56.3M followers,698 following
everton,2025-08-01 18:08:38,"13,242",3.2M followers,157 following
officialnffc,2025-08-01 18:08:43,"20,603",1.3M followers,87 following
spursofficial,2025-08-01 18:08:49,"25,624",17.5M followers,344 following
